,song,artist,track_url,track_id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
45,How Far I'll Go - From |Moana|,Alessia Cara,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,5hYTyyh2odQKphUbMqc5gN,0.157,https://api.spotify.com/v1/audio-analysis/5hYTyyh2odQKphUbMqc5gN,0.314,175517.0,0.555,0.000108,9.0,0.067,-9.601,1.0,0.37,179.666,4.0,https://api.spotify.com/v1/tracks/5hYTyyh2odQKphUbMqc5gN,audio_features,spotify:track:5hYTyyh2odQKphUbMqc5gN,0.159
46,Caroline,Aminé,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g,5GFDrUTLGJix84sNhjCG0g,0.303,https://api.spotify.com/v1/audio-analysis/5GFDrUTLGJix84sNhjCG0g,0.945,209747.0,0.394,0.0,10.0,0.131,-8.571,1.0,0.492,120.058,4.0,https://api.spotify.com/v1/tracks/5GFDrUTLGJix84sNhjCG0g,audio_features,spotify:track:5GFDrUTLGJix84sNhjCG0g,0.743
47,Work from Home,Fifth Harmony,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,4tCtwWceOPWzenK2HAIJSb,0.103,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,0.803,214480.0,0.585,3.94e-06,8.0,0.0644,-5.861,1.0,0.0432,105.017,4.0,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,audio_features,spotify:track:4tCtwWceOPWzenK2HAIJSb,0.593
48,Vente Pa' Ca,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,7DM4BPaS7uofFul3ywMe46,0.00431,https://api.spotify.com/v1/audio-analysis/7DM4BPaS7uofFul3ywMe46,0.663,259196.0,0.92,1.69e-05,11.0,0.101,-4.07,0.0,0.226,99.935,4.0,https://api.spotify.com/v1/tracks/7DM4BPaS7uofFul3ywMe46,audio_features,spotify:track:7DM4BPaS7uofFul3ywMe46,0.533
49,Otra Vez (feat. J Balvin),Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,3QwBODjSEzelZyVjxPOHdq,0.0559,https://api.spotify.com/v1/audio-analysis/3QwBODjSEzelZyVjxPOHdq,0.832,209453.0,0.772,0.000486,10.0,0.44,-5.429,1.0,0.1,96.016,4.0,https://api.spotify.com/v1/tracks/3QwBODjSEzelZyVjxPOHdq,audio_features,spotify:track:3QwBODjSEzelZyVjxPOHdq,0.704
50,Party Monster,The Weeknd,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,4F7A0DXBrmUAkp32uenhZt,0.188,https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt,0.572,249213.0,0.631,2.31e-05,1.0,0.259,-8.389,1.0,0.104,77.519,4.0,https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt,audio_features,spotify:track:4F7A0DXBrmUAkp32uenhZt,0.219
51,Sexual,NEIKED,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop,3AsAuGTaDQzavZZThyYlop,0.0623,https://api.spotify.com/v1/audio-analysis/3AsAuGTaDQzavZZThyYlop,0.803,188889.0,0.569,0.0,2.0,0.083,-7.392,1.0,0.0739,107.986,4.0,https://api.spotify.com/v1/tracks/3AsAuGTaDQzavZZThyYlop,audio_features,spotify:track:3AsAuGTaDQzavZZThyYlop,0.809
52,Perfect Strangers,Jonas Blue,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,1CUVN2kn7mW5FjkqXTR2W1,0.372,https://api.spotify.com/v1/audio-analysis/1CUVN2kn7mW5FjkqXTR2W1,0.742,196613.0,0.819,0.0,1.0,0.277,-5.307,1.0,0.0487,117.986,4.0,https://api.spotify.com/v1/tracks/1CUVN2kn7mW5FjkqXTR2W1,audio_features,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,0.709
53,The Greatest,Sia,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,7xHWNBFm6ObGEQPaUxHuKO,0.0102,https://api.spotify.com/v1/audio-analysis/7xHWNBFm6ObGEQPaUxHuKO,0.668,210227.0,0.725,0.000479,1.0,0.0561,-6.127,1.0,0.266,191.944,4.0,https://api.spotify.com/v1/tracks/7xHWNBFm6ObGEQPaUxHuKO,audio_features,spotify:track:7xHWNBFm6ObGEQPaUxHuKO,0.729
54,Ride,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2Z8WuEywRWYTKe1NybPQEW,0.00835,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,0.645,214507.0,0.713,0.0,6.0,0.113,-5.355,1.0,0.0393,74.989,4.0,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,audio_features,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.566
